ssn|trans_num|trans_date|trans_time|unix_time|category|amt|is_fraud|merchant|merch_lat|merch_long
142-64-5536|a6a6778083a21a81e848ebe291fbaace|2022-03-13|03:47:02|1647157622|grocery_pos|23.73|1|fraud_Schamberger-O'Keefe|37.074515|-81.93762
142-64-5536|59d9bfe160797d684db44cdf4d13ddec|2022-03-13|02:15:48|1647155748|grocery_pos|315.48|1|fraud_Hackett-Lueilwitz|36.886554|-82.699769
142-64-5536|033f8dc9111c24232ff182e443a06e05|2022-03-13|02:56:06|1647158166|grocery_pos|355.82|1|fraud_Wolf Inc|37.088712|-81.113709
142-64-5536|631759802e28466b13d4216ab4b73579|2022-03-13|01:46:40|1647154000|gas_transport|343.31|1|fraud_Greenholt, Jacobi and Gleason|38.423313|-80.949678
142-64-5536|5e149221a704a093fe3da5446f368bc8|2022-03-13|01:23:57|1647152637|grocery_pos|337.08|1|fraud_Goldner, Kovacek and Abbott|38.379447|-81.518976
142-64-5536|0bd71147299689ba8dd9e50b601cabf5|2022-03-14|22:27:36|1647311256|shopping_net|333.97|1|fraud_Baumbach, Feeney and Morar|37.055473|-81.138045
142-64-5536|7b4433ba4f8c3059e9ee0294420dc52e|2022-03-14|22:55:34|1647312934|shopping_pos|788.16|1|fraud_Lynch Ltd|36.889433|-82.188164
142-64-5536|ea593dacb2ae071aa550126510d1416c|2022-03-14|22:18:12|1647310692|entertainment|897.56|1|fraud_Schuppe LLC|37.904085|-82.213202
142-64-5536|37808b838c563eabc6ac262dc3dc94fc|2022-03-13|18:26:57|1647210417|grocery_pos|933.99|1|fraud_Padberg-Welch|38.534609|-81.268553
142-64-5536|a6c06823ad8a7e43616160bc8629c980|2022-03-13|22:06:08|1647223568|misc_net|1050.04|1|fraud_Bednar Group|38.484517|-82.343233
142-64-5536|2f6431aa48b702184f6136c6076b52ec|2022-03-13|23:57:07|1647230227|shopping_net|795.1|1|fraud_Kozey-Boehm|37.824592|-82.75198
142-64-5536|ba2e7eba3c574bcc9707a03ba88da84d|2022-03-14|23:53:51|1647316431|entertainment|927.54|1|fraud_Dibbert and Sons|37.558823|-82.732219
142-64-5536|899dd5bac317742028b8d1e5afb54f30|2022-03-13|22:34:21|1647225261|shopping_net|702.75|1|fraud_Langworth, Boehm and Gulgowski|37.007969|-82.557931
142-64-5536|1b58f8783844bda1a97ec07f837bf0ab|2022-03-14|22:26:13|1647311173|shopping_pos|643.65|1|fraud_Turner and Sons|37.897932|-80.828963
142-64-5536|98d06544a87e601bef72d91561b87777|2021-01-14|11:01:56|1610640116|grocery_pos|57.78|0|fraud_Pacocha-O'Reilly|38.253502|-81.222312
142-64-5536|946fc1479ad6db330bf11831e09d6c63|2022-08-04|07:55:51|1659614151|shopping_pos|75.76|0|fraud_Lynch Ltd|38.533531|-82.709271
142-64-5536|f67747e4aa34123b84fd89efef6ab165|2021-06-26|04:07:12|1624694832|misc_net|41.22|0|fraud_Kris-Weimann|37.196516|-81.593825
142-64-5536|7f3ed6d51ccfcd67e10a91a42ee1f95c|2020-02-22|00:53:03|1582350783|gas_transport|46.68|0|fraud_Koss and Sons|37.020865|-82.557625
142-64-5536|f9fe9869cad5d64206455fbb604227d5|2021-07-02|01:50:40|1625205040|misc_net|45.85|0|fraud_Moore, Dibbert and Koepp|37.393389|-82.572626
142-64-5536|127d774232079f265abb13f1e7dcfbfd|2022-04-11|01:02:04|1649653324|shopping_net|59.54|0|fraud_Zboncak, Rowe and Murazik|37.794439|-82.155107
142-64-5536|5835531db8dd29511d0be52b956abfd1|2021-04-30|06:14:27|1619777667|grocery_pos|47.5|0|fraud_Cole PLC|38.0244|-80.785531
142-64-5536|f67aaec27cc602f66d4ea2148fb89e73|2020-01-18|07:01:15|1579348875|gas_transport|78.16|0|fraud_Erdman-Kertzmann|37.138762|-80.837645
142-64-5536|7a08acb2ee4aee930552e43f44a45cf7|2022-06-24|08:35:38|1656074138|shopping_pos|45.14|0|fraud_Stoltenberg-Beatty|38.216994|-81.250357
142-64-5536|136584a4903c0e831a93422f1db3afe5|2022-10-07|00:10:50|1665115850|entertainment|58.09|0|fraud_Cruickshank-Mills|38.350503|-82.092011
142-64-5536|e8bcdf5100fcb68efb7eeaa4b2451db7|2022-09-04|05:47:45|1662284865|shopping_pos|76.31|0|fraud_Roob, Conn and Tremblay|38.195154|-80.823219
142-64-5536|2f7c3ade1164f98a2288f64ad0c847cd|2021-01-11|02:17:29|1610349449|grocery_pos|66.72|0|fraud_Kovacek, Dibbert and Ondricka|37.442726|-82.421428
142-64-5536|309da1c8b4401305fb6cb46e569dbf6e|2021-09-12|10:51:58|1631458318|misc_net|36.99|0|fraud_Kunde-Sanford|37.028071|-80.881679
142-64-5536|6c7c83fa21ccf2a902eb9b49316c6fde|2021-03-21|11:03:51|1616339031|grocery_pos|53.31|0|fraud_Kunze Inc|38.562722|-81.203616
142-64-5536|96bf0676cedcf8d388abf2515f74ecbd|2022-07-28|03:28:33|1658993313|shopping_pos|71.76|0|fraud_Turner and Sons|37.543527|-81.892171
142-64-5536|6e68d9b1bf6abf00c4afcb82314e85d9|2022-08-13|04:10:28|1660378228|shopping_pos|39.62|0|fraud_Willms, Kris and Bergnaum|38.111595|-81.583202
142-64-5536|f3a29b6c697c8a1709deb07c2c559fbc|2021-06-16|08:18:06|1623845886|misc_net|41.65|0|fraud_Kris-Weimann|36.804703|-81.250449
